epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_seconds
1,0.9467279050351788,0.6550972501676727,1.5015789955316672,0.449667616334283,50.344655990600586
2,0.6313952065649486,0.7745640509725017,1.1384253517741378,0.6585944919278253,49.95323085784912
3,0.5283402522325036,0.8142186452045607,0.5198389757619172,0.8100664767331434,51.83229207992554
4,0.4710775443485805,0.8322434607645876,0.5167693848963137,0.8228869895536562,62.836467266082764
5,0.4429875803145684,0.841297786720322,0.6328577801712558,0.7768281101614435,70.80629897117615
6,0.41848240304041195,0.8479208584842388,0.4995015512617678,0.8380816714150048,58.874107122421265
7,0.3830343305984653,0.8627598926894702,0.9402808078899909,0.7264957264957265,59.088414907455444
8,0.37909862754890217,0.8662810194500336,0.6533604242183544,0.7739791073124407,59.38921403884888
9,0.35468442121421945,0.8733232729711603,0.3714144411023639,0.8760683760683761,59.59967017173767
10,0.3457421721886821,0.8790241448692153,0.4944593893949576,0.8228869895536562,59.87451195716858
11,0.32835618742834716,0.8812877263581489,0.45486595295546517,0.8442545109211775,60.026561975479126
12,0.31764375154081403,0.886317907444668,0.4044541383740569,0.8641975308641975,60.914106130599976
13,0.3038632102375619,0.8922702883970489,0.4815799304675965,0.8342830009496676,61.33182954788208
14,0.2963366298608377,0.8939470154258886,0.49960302565059317,0.818613485280152,61.66797494888306
