epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_seconds
1,0.8996119765048856,0.6785714285714286,0.9198922749824561,0.6490978157644824,47.399720907211304
2,0.5951949461525035,0.789403085177733,0.9909256011785379,0.657644824311491,44.045088052749634
3,0.5115933877401588,0.8164822266934944,0.48139719168345135,0.8371320037986705,48.909241914749146
4,0.46272784715367193,0.8322434607645876,0.6036722586478716,0.775403608736942,60.315423011779785
5,0.41145970867753107,0.8538732394366197,0.5584243348634255,0.8034188034188035,60.989234924316406
6,0.3985659847876755,0.8547954393024816,0.48891673994879437,0.8361823361823362,57.59104609489441
7,0.36956790395425837,0.8686284372904092,0.45095293746035325,0.8551756885090218,57.91633725166321
8,0.3561961847131961,0.8744969818913481,0.5760115317130021,0.7801519468186134,58.16088008880615
9,0.34222418297704316,0.8758383635144199,0.5228254549976541,0.7972459639126306,57.11595010757446
10,0.32387010924053383,0.8827967806841046,0.5204888389207926,0.8038936372269706,56.47076678276062
11,0.3288872234178501,0.8831321260898726,0.5218852175380203,0.7929724596391263,56.26495718955994
12,0.31040884361500554,0.8905097250167673,0.7828101194821872,0.7359924026590693,56.91180109977722
